date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
7/13/2016,SN,DL108,D,FL,14,40,R,1,14,NA,1
7/13/2016,SN,DL108,D,FL,36,20,R,1,20,NA,1
7/13/2016,SN,DL108,D,FL,19,0,R,1,19,NA,2
7/13/2016,SN,DL108,D,FL,16,50,R,1,16,NA,1
7/13/2016,SN,DL108,D,FL,11,0,R,1,11,NA,1
7/13/2016,SN,DL23,D,FL,16,0,R,1,16,NA,2
7/13/2016,SN,DL23,D,FL,13,0,R,1,12,NA,1
7/13/2016,SN,DL23,D,FL,13,0,R,1,13,NA,2
7/13/2016,SN,DL23,D,FL,17,0,R,1,13,NA,1
7/13/2016,SN,DL23,D,FL,10,0,R,1,10,NA,1
7/13/2016,SN,DL23,D,FL,14,0,R,1,12,NA,1
7/13/2016,SN,DL23,D,FL,25,0,R,1,25,NA,1
7/13/2016,SN,DL23,D,FL,19,0,R,1,19,NA,1
7/13/2016,SN,DL105,D,FL,23,0,R,1,20,NA,1
7/13/2016,SN,DL105,D,FL,20,0,R,1,12,NA,2
7/13/2016,SN,DL105,D,FL,12,0,R,1,12,NA,2
7/13/2016,SN,DL105,D,FL,55,0,R,1,53,NA,1
7/13/2016,SN,DL105,D,FL,65,0,R,1,21,NA,2
7/13/2016,SN,DL105,D,FL,13,0,R,1,13,NA,1
7/13/2016,SN,DL105,D,FL,21,0,R,1,20,NA,1
7/13/2016,SN,DL105,D,FL,17,0,R,1,14,NA,3
7/13/2016,SN,DL105,D,FL,17,0,R,1,17,NA,2
7/13/2016,SN,DL59,D,FL,15,0,R,1,12,NA,1
7/13/2016,SN,DL59,D,FL,20,0,R,1,20,NA,1
7/13/2016,SN,DL59,D,FL,21,0,R,1,14,NA,1
7/13/2016,SN,DL59,D,FL,21,0,R,1,21,NA,1
7/13/2016,SN,DL59,D,FL,46,0,R,1,46,NA,1
7/18/2016,SN,DH42,D,FH,16,0,R,1,15,NA,2
7/18/2016,SN,DH42,D,FH,25,0,R,1,13,NA,2
7/18/2016,SN,DH42,D,FH,40,0,R,1,20,NA,2
7/18/2016,SN,DH42,D,FH,30,0,R,1,18,NA,2
7/18/2016,SN,DH42,D,FH,20,0,R,1,16,NA,2
7/18/2016,SN,DH42,D,FH,100,0,R,1,25,NA,2
7/18/2016,SN,DH42,D,FH,14,0,R,1,14,NA,2
7/18/2016,SN,DH42,D,FH,19,0,R,1,19,NA,3
7/18/2016,SN,DH42,D,FH,15,0,R,1,15,NA,3
7/18/2016,SN,DH42,D,FH,13,0,R,1,13,NA,3
7/18/2016,SN,DH42,D,FH,18,0,R,1,18,NA,3
7/18/2016,SN,DH42,D,FH,23,0,R,1,18,NA,2
7/18/2016,SN,DH42,D,FH,40,0,R,1,26,NA,2
7/18/2016,SN,DM39,D,FM,37,0,R,1,21,NA,3
